Date,r,xs,xb,snom,spe,sspr
4/1/1975,0.00088,0.041822,-0.021422,0.0561,2.184709998,0.0238
5/1/1975,-0.001312667,0.050781667,0.022909667,0.0523,2.184709998,0.0249
6/1/1975,-0.003069,0.047023,-0.00428,0.0534,2.184709998,0.0217
7/1/1975,-0.006085667,-0.065493333,-0.007220333,0.0613,2.184709998,0.0179
8/1/1975,0.003521667,-0.028923667,-0.003667667,0.0644,2.184709998,0.0189
9/1/1975,-0.000175,-0.04336,-0.003534,0.0642,2.184709998,0.0195
10/1/1975,-0.000528333,0.050890333,0.026905333,0.0596,2.184709998,0.0201
11/1/1975,-0.002719333,0.026656333,-0.006448667,0.0548,2.184709998,0.0232
12/1/1975,0.000916333,-0.015531333,0.019539667,0.0544,2.184709998,0.0232
1/1/1976,0.002256333,0.121952667,0.001193667,0.0487,2.421417675,0.0259
2/1/1976,0.000469667,0.003247333,0.002310333,0.0488,2.421417675,0.0257
3/1/1976,0.002374667,0.022632333,0.005011333,0.05,2.421417675,0.0249
4/1/1976,0.000472,-0.014439,0.0038,0.0486,2.421417675,0.0239
5/1/1976,-0.002796667,-0.013702333,-0.014107333,0.052,2.421417675,0.0239
6/1/1976,-0.000801667,0.039978667,0.005526667,0.0541,2.421417675,0.022
7/1/1976,-0.000923667,-0.010515333,0.001319667,0.0523,2.421417675,0.0226
8/1/1976,-0.000970667,-0.005718333,0.011541667,0.0514,2.421417675,0.0217
9/1/1976,0.000749333,0.020250667,0.009010667,0.0508,2.421417675,0.0205
10/1/1976,-0.001108,-0.024473,0.012318,0.0492,2.421417675,0.0183
11/1/1976,0.002231333,0.001405667,0.029408667,0.0475,2.421417675,0.0177
12/1/1976,0.000177,0.057966,0.00098,0.0435,2.421417675,0.0175
1/1/1977,-0.001305,-0.040187,-0.025832,0.0462,2.439411752,0.0196
2/1/1977,-0.006364333,-0.019651667,-0.001929667,0.0467,2.439411752,0.0216
3/1/1977,-0.002934667,-0.013079333,0.004407667,0.046,2.439411752,0.0233
4/1/1977,-0.004619667,0.001168667,0.005095667,0.0454,2.439411752,0.0225
5/1/1977,-0.000866667,-0.014918333,0.003206667,0.0496,2.439411752,0.0198
6/1/1977,-0.002449667,0.047183667,0.010777667,0.0502,2.439411752,0.0174
7/1/1977,-0.000617,-0.017135,-0.011523,0.0519,2.439411752,0.0165
8/1/1977,0.001296,-0.017918,0.003926,0.0549,2.439411752,0.0154
9/1/1977,0.001573667,-0.003267667,-0.005269667,0.0581,2.439411752,0.0123
10/1/1977,0.001876333,-0.044413333,-0.011241333,0.0616,2.439411752,0.0116
11/1/1977,0.000213333,0.040348667,0.004004667,0.061,2.439411752,0.0124
12/1/1977,0.001827333,0.003159667,-0.008442333,0.0607,2.439411752,0.0141
1/1/1978,-0.001074333,-0.060568667,-0.004692667,0.0644,2.221770998,0.0133
2/1/1978,-0.001025,-0.01465,-0.00489,0.0645,2.221770998,0.0138
3/1/1978,-0.002707333,0.028771333,-0.001239667,0.0629,2.221770998,0.0157
4/1/1978,-0.002644333,0.077599333,-0.001601667,0.0629,2.221770998,0.0169
5/1/1978,-0.004048333,0.017896333,-0.007012667,0.0641,2.221770998,0.0177
6/1/1978,-0.005244667,-0.016359333,-0.007928333,0.0673,2.221770998,0.0163
7/1/1978,-0.001827333,0.050907333,0.003683333,0.0701,2.221770998,0.0153
8/1/1978,0.001334,0.036452,0.002557,0.0708,2.221770998,0.0125
9/1/1978,-0.001034333,-0.013432667,-0.005033667,0.0785,2.221770998,0.0058
10/1/1978,-0.002364667,-0.117655333,-0.018480333,0.0799,2.221770998,0.0062
11/1/1978,0.002729,0.026592,0.007348,0.0864,2.221770998,0.002
12/1/1978,0.003115667,0.010143333,-0.020314667,0.0908,2.221770998,0
1/1/1979,-0.001071333,0.041697333,0.014985333,0.0935,2.220817668,-0.0015
2/1/1979,-0.003946333,-0.034532667,-0.014308667,0.0932,2.220817668,-0.0019
3/1/1979,-0.00223,0.057718,0.004366,0.0948,2.220817668,-0.0028
4/1/1979,-0.003577667,0.000638667,-0.005586333,0.0946,2.220817668,-0.0021
5/1/1979,-0.004739667,-0.021584333,0.013106667,0.0961,2.220817668,-0.0037
6/1/1979,-0.003639,0.0393,0.013693,0.0906,2.220817668,-0.0021
7/1/1979,-0.003365,0.007291,-0.009469,0.0924,2.220817668,-0.0034
8/1/1979,-0.001642667,0.056794667,-0.014160333,0.0952,2.220817668,-0.0046
9/1/1979,-0.00229,-0.007122,-0.010017,0.1026,2.220817668,-0.0085
10/1/1979,0.001707,-0.08241,-0.061172,0.117,2.220817668,-0.0107
11/1/1979,0.000516,0.053778,0.028784,0.1179,2.220817668,-0.0086
12/1/1979,-0.000506667,0.018178667,-0.002802333,0.1204,2.220817668,-0.0162
1/1/1980,-0.004342,0.055607,-0.024792,0.12,2.172918674,-0.0126
2/1/1980,-0.003422333,-0.009701667,-0.068738667,0.1286,2.172918674,-0.0026
3/1/1980,-0.002542333,-0.132890667,-0.002965667,0.152,2.172918674,-0.0173
4/1/1980,-0.000236,0.041288,0.095119,0.132,2.172918674,-0.0136
5/1/1980,-0.002727,0.05294,0.035911,0.0858,2.172918674,0.0137
6/1/1980,-0.005110333,0.031822333,0.006505333,0.0707,2.172918674,0.0214
7/1/1980,0.006716667,0.062721333,-0.021228667,0.0806,2.172918674,0.0147
8/1/1980,0.000353333,0.015944667,-0.054835333,0.0913,2.172918674,0.0171
9/1/1980,0.000155333,0.020939667,-0.010248333,0.1027,2.172918674,0.0135
10/1/1980,0.000159333,0.010409667,-0.030210333,0.1162,2.172918674,0.0024
11/1/1980,0.003186667,0.093509333,-0.016542667,0.1373,2.172918674,-0.009
12/1/1980,0.003551333,-0.047317333,0.025455667,0.1549,2.172918674,-0.0224
1/1/1981,0.004405667,-0.052601667,-0.008426667,0.1502,2.21768873,-0.0225
2/1/1981,0.00198,0.003196,-0.034641,0.1479,2.21768873,-0.0138
3/1/1981,0.004307333,0.035050667,0.014526667,0.1336,2.21768873,0.0005
4/1/1981,0.004628333,-0.022676333,-0.035225333,0.1369,2.21768873,0.003
5/1/1981,0.005727333,-3.23333E-05,0.013904667,0.163,2.21768873,-0.0167
6/1/1981,0.003366,-0.022517,-0.00671,0.1473,2.21768873,-0.0078
7/1/1981,0.001420333,-0.015538333,-0.036698333,0.1495,2.21768873,-0.0016
8/1/1981,0.005283,-0.069204,-0.030085,0.1551,2.21768873,0.0005
9/1/1981,0.002499,-0.076022,-0.010889,0.147,2.21768873,0.0123
10/1/1981,0.009137333,0.048878667,0.053255667,0.1354,2.21768873,0.0187
11/1/1981,0.005838,0.036799,0.058124,0.1086,2.21768873,0.0252
12/1/1981,0.005839667,-0.037137667,-0.047778667,0.1085,2.21768873,0.0275
