Date,r,xs,xb,snom,spe,sspr,Bearish,Bullish
6/1/2009,-0.00844,-0.003248,-0.007461,0.0018,2.76893455,0.0253,0.28,0.488
7/1/2009,0.001736,0.081569,0.005885,0.0018,2.76893455,0.0228,0.4767,0.314
8/1/2009,-0.002101333,0.031317333,0.009375333,0.0017,2.76893455,0.024,0.3398,0.4854
9/1/2009,-0.000525,0.045122,0.006363,0.0012,2.76893455,0.0225,0.3909,0.4455
10/1/2009,-0.000904667,-0.028051333,0.003562667,0.0007,2.76893455,0.0226,0.3365,0.4231
11/1/2009,-0.000666333,0.057056333,0.018379333,0.0005,2.76893455,0.0218,0.4166,0.4166
12/1/2009,0.001802667,0.028377333,-0.027520667,0.0005,2.76893455,0.0229,0.4918,0.2295
1/1/2010,-0.003367,-0.037146,0.018514,0.0006,3.023583476,0.0242,0.35,0.3667
2/1/2010,-0.000157333,0.034683333,0.004402333,0.0011,3.023583476,0.0225,0.3489,0.2953
3/1/2010,-0.003981,0.063481,-0.007852,0.0015,3.023583476,0.0228,0.3239,0.3466
4/1/2010,-0.001603667,0.019909667,0.008941667,0.0016,3.023583476,0.0242,0.4136,0.2864
5/1/2010,-0.000641667,-0.079270333,0.014945667,0.0016,3.023583476,0.0202,0.2983,0.5088
6/1/2010,0.001076,-0.050817,0.018277,0.0012,3.023583476,0.0188,0.3446,0.3243
7/1/2010,-7.77E-05,0.070159667,0.010882667,0.0016,3.023583476,0.016,0.4,0.3333
